sid	time	Pparg	Edn1	Birc5	Sparc	Col1a1	Col8a1	Igf1	Fasl	Bad	Tgfbr2	Rarres1	Lama1	Timp1	Nes	Bcl2l11	Pdgfb	Xiap	Notch3	Cdh1	Timp2	Wisp1	Bak1	Gdf2	Pde4a	Ctgf	Notch1	Tnc	Bax	Cdh2	Pde4b	Fn1	Smad7	Mki67	Prom1	Ch25h	Pde4d	Acta2	Pten	Tgfb2	Mmp10	Col4a3	Actb	Col3a1	Cyp2e1	Rps18	Smad6	Col6a6
11	12h	0.5598278216	0.2751787712	0.1325743148	0.3118662725	0.1538121772	0.0922745537	0.9186703293	0.3876758783	1.095823134	0.7524599362	0.6156703915	0.2260645825	0.5769733192	0.1463819246	0.9058211396	0.4259354741	0.8635597034	0.1252285333	0.6872770278	0.3568987193	0.0970601236	0.6817783978	0.5801293264	0.5463907167	0.3337049834	0.5918672284	0.2247325922	0.9817513339	0.7403257493	1.2741698149	1.4297116403	0.6034605755	0.2337044194	0.2685866431	0.324040803	0.8138895784	0.194213721	1.0418220051	0.3288983001	0.0062209893	0.4234247059	0.8806038029	0.1421005766	1.1962406175	1.1153899385	0.7287082927	0.2120916531
12	12h	0.6095887568	0.59504984	0.2546815652	0.474735207	0.3348048993	0.3439001442	0.9153817998	0.5416745968	1.00355	0.673813591	0.7239667887	0.454738799	0.3910585656	0.4610913562	0.9371994401	0.5276374653	0.8271992143	0.2178266837	0.5534088967	0.4541930532	0.1762253724	0.6691045531	0.7845992227	0.6179551697	0.4751146661	0.5336504916	0.347623344	0.8186773333	0.7579516606	0.9200235101	1.1236122479	0.5182760294	0.2369450161	0.145391547	0.8376631433	0.5926870537	0.4049950404	0.9454404055	0.423167804	0.125306289	0.0439965851	0.7298955471	0.2941904999	1.4219790011	1.0406151181	0.529848206	0.2226257694
13	12h	0.6189477533	0.241362333	0.1567971881	0.1645067747	0.047238333	0.0448397023	0.8661681808	0.1775581596	0.8399883668	0.6714147226	0.5921614252	0.0713364027	0.3181166029	0.116692311	0.6830356823	0.3376659299	0.976499907	0.0754415875	0.5495687688	0.1603431603	0.0768039361	0.7649166209	0.2589524832	0.3958053744	0.1698576671	0.4345095477	0.0243253232	0.80685034	0.5762360686	0.4537325083	1.226091518	0.5741219942	0.1179398805	0.1449856326	0.291042451	0.8918478575	0.0897752613	0.8060816384	0.2593885603	0.0227288254	0.0252106791	1.1150777477	0.034956236	0.7383243941	0.8584580156	0.5019558115	0.3510128735
14	12h	0.8345374953	0.3383289909	0.2012782594	0.2519891024	0.1201287263	0.1299207569	1.1972205317	0.7956540133	1.1449016991	0.679933457	1.3033364591	0.1873411134	0.2674062571	0.3227376815	1.157124039	0.4351282878	0.8531994088	0.2633677394	0.4958923625	0.2582093703	0.2260795667	0.8159035339	0.2375302922	0.4515232988	0.3435788403	0.5903373223	0.0962029347	0.7788014814	0.7824914896	1.0626932654	1.3284838616	0.5190845954	0.2014828094	0.226738302	0.4676850015	0.673461161	0.3212563922	1.0510488567	0.3915281473	0.0018281162	0.2056655926	0.6952966844	0.0882654278	1.6306101017	1.0089114313	0.4778780675	0.2799540752
15	12h	0.6875466484	0.3770011455	0.0987195058	0.2611147324	0.0904691034	0.152547064	1.1101367862	0.1796617256	0.9906198836	0.5572974641	2.0468273662	0.1400147496	0.4846463457	0.3800327962	0.8577716616	0.4743362151	0.918474643	0.1298991617	0.5926223959	0.2148212767	0.1957260333	0.7011210847	0.3439928889	0.4549843619	0.2729730418	0.5420050621	0.1376127928	0.9015283529	0.6055698213	0.4334232404	1.603023984	0.46964976	0.1961223101	0.0645123094	0.1908008923	0.6796050397	0.1216767717	0.86592656	0.2394955644	0.0038323802	0.1224375158	1.0769154169	0.0798129319	0.8717324181	0.9926359336	0.5094906572	0.4855457798
16	18h	1.0930653287	1.416327777	0.3295816824	0.6167071186	0.9649751195	0.4956461772	1.2310310283	0.358817573	1.1721290874	1.0049340029	1.1749060257	0.2231953836	1.1889405663	0.7104342735	1.3592696744	1.0982686527	1.0297683566	0.5846655836	1.2935403519	0.6124623431	0.2862926362	0.9355176123	0.3260675055	0.6565402572	0.657138583	0.8669899163	0.6349644009	1.2024477066	1.2355295888	1.6671062612	1.4412246557	0.982327061	0.47538008	1.0141324681	1.7263719099	1.0339738243	0.9205836482	1.3305702317	0.4448530466	91.3482123069	0.3542136061	1.353029434	0.863797079	1.7987937219	1.6299229376	1.0290111684	0.412392037
17	18h	1.5447613244	1.6004704487	1.3425763726	0.6681461971	0.3317683068	2.2333530965	1.055924054	4.9098567843	2.1142944365	0.9650304186	1.5035221958	1.4276850538	1.748472595	1.38947897	1.4555518056	1.4194519422	1.2876729645	1.3045580287	1.7596981102	1.0276458634	2.7520695197	1.0769872448	0.7288872119	1.5822675973	1.1253898419	1.2168573919	0.9117930501	1.375188854	1.2942085557	1.2084289178	1.7385692488	1.826684042	0.4570571804	1.8008727204	1.8956453804	1.2013841798	2.5563787451	1.0948369419	1.6151005368	87.7539655253	3.060730522	1.3423682512	0.3119645869	1.2238611774	1.3086263698	1.0588981285	3.3291205748
18	18h	1.6975106097	1.1888961442	1.1594845706	0.5437938236	0.2988679967	1.1264332557	0.9373816156	2.2526430723	1.4031654981	0.8985059343	1.7596595096	1.2974910421	1.409036569	1.3176046244	1.6756948155	0.9983400941	1.3407176348	1.434823223	1.7468470024	1.0175887864	1.7958785734	1.13017248	0.6379467781	1.5559400885	0.9752969882	1.2491076082	0.9096745869	1.1162695847	1.4190167069	0.7911023727	1.2999690762	1.7062420272	0.3989579272	1.1480399349	2.7789931799	1.7964436528	4.5380643057	1.1353749755	1.5614903319	49.3076011429	1.5601390077	1.2645216017	0.2571845977	1.1598750971	0.9103684028	1.0986175223	1.5418716366
19	18h	1.6690246487	2.471586328	1.5507101033	0.7426143617	0.2695279295	4.0936397611	1.1805988736	9.9516130733	2.0414118542	1.1783460478	1.734716424	2.4347415299	1.8048199563	2.2341239943	2.6426380071	1.9735354157	1.5463104132	2.0237974313	1.8046112083	1.4347143939	4.8227898918	1.440536699	1.0749323087	2.2357588707	1.530094774	1.5799094556	1.7926397048	1.4968139221	1.3381438369	5.1647522733	1.7012359774	3.0137232844	0.7578324459	3.8634881824	5.0054054041	2.1670472162	2.8897540843	1.2309840991	2.8059572678	233.9067106087	6.1724038985	1.5474177174	0.3806055794	1.2650161281	1.1533418333	2.3148537155	6.8691257794
20	18h	1.7599444051	0.8392977133	0.5645441146	0.4444206197	0.176897167	0.790898276	1.0960718298	2.6131509351	1.7328546982	0.6396889821	1.6246214251	0.8319481273	0.5173466303	0.6538498842	1.2902488176	0.8474512719	1.3524664875	0.833639524	1.0091743898	0.8269909851	0.9141844229	1.0358061862	0.5607162121	1.2061292346	0.7679462672	0.933642922	0.4477408755	0.9742758127	1.1463311675	0.7578436528	1.4003395907	1.1259063714	0.3856341035	1.1915120638	0.8832274155	1.3236520557	0.9354142328	1.0516363284	1.1635434847	23.0890669157	1.6000912079	1.1139074526	0.1746677412	1.6114466537	1.1403624204	0.8762276544	2.4461752907
21	30h	2.3191262331	1.3877484426	2.907832291	0.9653792477	0.837964429	2.4207192134	1.1546353991	4.1578810329	1.7808785522	1.0708856501	1.4050096888	1.9349035245	2.1917238034	2.4022513066	1.5158616591	1.5092698623	1.35580185	2.1129232297	2.0613916141	1.6790263884	3.8613657998	1.4079160456	0.8263944402	1.7408077503	1.2129962518	1.1795382623	1.7631526213	1.3104434081	1.3308703734	2.0642093433	1.1048304575	1.7149487327	2.3421049633	2.8371247258	1.9767582453	1.6486721858	2.5605801306	1.1241862797	1.770213782	137.4331096594	2.7898003824	1.1660697098	0.8652684736	1.370679322	1.1062775968	1.0109282729	2.7643272948
22	30h	1.1532623738	0.7759591407	0.9836314421	0.5799058816	1.1423347179	0.2901600158	1.0766824548	1.9796039273	1.115897691	0.8641260135	0.8757929391	0.330965268	1.3978342207	0.8392808245	0.8458156564	0.9416334957	1.0616267218	0.4710628129	1.1813548504	0.7251800155	0.5116536476	0.9771440358	0.5185960171	0.9219058884	0.7271992793	0.8079523445	2.3366819479	0.9424353739	1.0054211032	0.9348593089	0.921921402	0.6802538623	1.3409640431	0.9134048841	1.0014447404	0.8792364306	1.2281250839	1.0666221916	0.7418149033	10.7699153424	1.0109687421	0.9676168112	0.8732480355	1.5909972307	1.181769457	0.7121705532	0.814006953
23	30h	0.7707070935	0.7840542303	0.706231624	0.6579821969	0.9288184886	0.4700157669	1.1509781466	0.3921221906	1.1463872554	0.8610701179	0.6970936907	0.3198044952	1.1407103326	0.3623310829	0.5938942534	0.4949108903	0.8313640962	0.3637039041	1.2840144259	0.4889765939	0.2167509521	0.9252676571	0.7374755923	0.6357124521	0.6329848379	0.6762962556	0.4777052991	0.9510532388	0.9174547428	0.6963835896	1.0663335526	1.1332635025	0.7712057395	0.4927189951	0.5496908483	0.4793597688	0.3273093832	1.0472940152	0.5162222666	2.5890302484	0.1821403638	0.8537192617	0.8255788842	1.3668045335	1.2073348923	0.7467635606	0.6222258206
24	30h	0.7973701568	1.0720801815	0.5534546197	1.3872489993	2.6703034185	0.8172257266	0.8629785754	0.6854163493	1.2914374152	1.3122016888	0.5898197586	0.857853098	2.4264026088	1.5133785151	1.2227492877	0.983525059	1.1555459871	1.3031608172	1.5327045345	0.6860115329	0.4432407859	1.0981777151	1.0194303885	0.753051464	0.8601962884	0.9916994513	1.9398995885	1.451780353	1.0189456932	1.2977852422	1.1037950271	0.7388571832	1.0007929988	0.9476414779	2.1272767315	0.9032652446	0.4832189528	1.2260610802	0.9306612963	2.0856460413	1.0382616738	1.325559086	2.2673060873	1.4582816434	1.4748830921	0.984873371	1.1389267704
25	30h	2.0311988027	1.7738093288	3.2693750752	0.9209814654	0.9581177382	4.8973809236	1.0971140183	9.0159157107	2.075522565	1.2574041654	1.1459153399	2.9841713827	3.086664344	2.1290217529	1.8494422642	1.9595019186	1.4928556629	3.9629805666	1.9934509175	1.4541259076	4.9903277517	1.834773767	1.0928172686	2.8295518904	1.2573279248	1.8268504372	1.4164062028	1.338040863	1.5702387139	1.2480504723	1.3433583288	1.8868444212	2.6077648466	3.2632572266	3.0027484337	2.3001894915	5.2392112438	1.3461624252	3.2344134567	362.9196555231	9.1493552936	1.1517023412	0.8724834192	1.6011711255	1.3683635931	1.5006095851	5.3088530766
26	2d	1.677399649	2.7235475988	9.5793677354	2.4936741878	2.7568311901	6.2242183049	0.991279273	8.1743781352	1.438945146	1.4991909304	0.8904078833	6.2844219829	3.1218940151	4.5395321376	1.2433603488	2.5814870788	1.2691890937	4.8496252644	2.4774718363	2.6190885535	7.3825175619	1.6803653858	2.5000497132	2.5110186031	2.1878257822	2.2290962651	4.1732873308	1.7777685104	1.4686779156	1.0156439048	0.9959443504	2.5083351115	7.6022836973	6.3715018953	3.7246751857	2.1612557815	3.6066850795	1.162879884	3.1276673691	236.1241472726	6.1083643528	1.2747827122	2.7575400554	0.6682713776	1.0115675473	1.9243110627	6.2262741146
27	2d	4.0052369249	13.2861969982	16.5652153597	3.4788427028	6.0597842255	46.0529699456	1.174507924	3.7202269877	2.9332156508	2.5990530774	1.1891926578	15.5132773859	11.568987365	15.1314689705	3.8114857186	7.1352604283	1.9809826435	23.2695835024	3.6683262589	6.7489933918	42.2636790984	2.899163067	2.9856811012	7.6216575632	5.9346658575	3.6941543245	13.9949259423	2.7168259105	1.9990465217	4.4416213652	1.5839383276	5.1126877626	10.5917295125	28.5888264955	16.2227624089	4.0609291373	20.4839113971	1.3821432148	17.993694884	3760.7840590056	60.1355853733	2.0633895311	5.1830953026	0.7076585827	1.2912993847	3.8802950328	41.3660069044
28	2d	0.9255034741	0.8880059638	2.4640875852	1.1962913414	2.3200599242	0.9041140579	0.9849208567	0.9297962681	0.6745359832	0.8806244449	0.4302760425	0.5409774934	2.082347372	1.467021666	0.3897299379	0.9879254312	0.7672498516	0.5051243408	1.3718837596	1.0307260067	1.0866664304	0.8280371197	0.6025933142	0.7430481281	0.5053990307	0.9260302173	1.6361650736	0.9590438482	1.0552909735	0.9165626261	0.5791532388	0.4430046078	3.2238269643	2.1850840383	0.709525718	0.5994564098	0.3928811331	0.822236655	0.8567545737	682.0088762162	0.6058233859	1.1480629551	1.9309589804	0.843860772	0.905312855	0.8021418587	0.535497694
29	2d	2.2325822359	4.1671417093	3.9195885795	1.1195789321	1.6764344943	12.5153407824	0.880069881	16.9548295069	1.8207682363	1.2869259552	1.7598282535	4.5545632894	2.9253227408	3.9417720672	1.8718970367	2.3538073955	1.2126466251	4.9283283881	1.8442985133	2.4640655833	8.0678422762	1.339055222	1.349127594	2.8912509417	2.5180637372	1.7677538151	3.9012081043	0.8521905054	1.4650917525	1.3305266461	0.9461463929	2.4072746102	1.6279007687	6.9729039507	4.0322527212	2.2366043934	6.6518681572	0.9804707811	5.9503241146	1066.3860222173	15.9218344499	0.6983678075	1.2219931375	1.052840661	0.7752931298	1.6806083308	11.0188063327
30	2d	0.9725436695	0.6131782147	1.2048952793	0.7984732736	2.018535452	0.2221887754	1.585299082	0.4031626133	1.1694752254	0.8684486426	0.4467427284	0.4974094539	0.6707669797	0.6059772262	0.4513125274	0.7342216011	1.1280995124	0.3380554915	1.2306881316	0.5849679688	0.3257271915	1.0333015571	0.565863956	0.9474992117	0.4454689031	0.9519519426	0.4125521781	1.0456272173	1.1484379018	0.6136671243	1.1646622009	0.5353639532	2.0775178072	0.7061421363	0.1790852985	0.9866729329	0.3366593097	1.2784512025	0.485361628	1370.2303295966	0.3435653317	0.8873934009	1.1488475109	1.8449863292	1.1979715496	0.7068423306	0.6125569703
31	5d	0.9344341796	1.1867685948	3.818714887	2.263537291	4.9311384157	1.7991303768	0.8467117894	0.3061101986	0.8430794348	1.0856141442	0.82502261	0.9702960759	4.2999066177	1.1710174784	1.143453554	1.5358286827	0.8277713644	1.1368023147	0.869338042	1.4393769819	1.0144575031	0.9312537248	1.8859419011	1.158244358	1.4636457516	1.1246469507	2.8497714998	1.2969066896	0.9703288635	1.1076594161	0.5885020687	1.1303255677	4.1967864436	1.6812779876	0.860367708	0.6739357353	0.6404825317	0.8800623509	1.2876312735	5.7491794064	0.6767204888	0.8537211791	4.7282046489	0.6032490314	0.7862294484	1.2512754248	1.1198625096
32	5d	0.9504471704	2.4726452709	9.3105487513	5.1771833122	18.456800274	4.8553855845	1.1643267372	1.3502286362	1.285293703	1.8847599896	0.5617610419	2.758953561	8.5523314606	3.3749289076	1.1421175815	3.482139779	1.7536546906	4.2637185938	2.2270623159	2.7871562557	2.4517079412	1.7078370479	1.7874017845	2.5052208714	2.0932859637	2.1915285376	9.7788394097	2.4153770754	1.5113241013	1.9415748922	1.5391790365	1.4821653036	11.5056819327	7.7727779511	3.8760090003	1.6707480013	2.7931319015	1.6793202894	2.259932679	3.8537996178	3.8549177236	2.5431452684	17.301134555	0.4530260213	1.5946246487	1.8578192627	2.9771762531
33	5d	0.8117530509	1.3823607746	2.6437222216	2.7300216699	6.1931228801	2.6074685967	0.8227541466	0.4112074984	0.6710423262	1.3242714569	0.6840230895	2.0172715648	4.1762615732	2.7886186365	0.7893604562	1.8802034	0.9042772692	2.2006136515	1.0948096237	1.6462666443	1.5626673813	1.1118293842	1.6653239709	1.4846791858	1.0960653283	1.0275868498	4.6731543525	1.2128829639	0.9583470866	1.0642163327	0.6844758848	0.7441782092	4.1102569413	1.9278873655	1.2727420106	0.9301770157	1.1469986656	0.801791948	1.4797162404	5.4046443853	1.055408014	1.1358163821	6.665870488	0.3841113351	0.7135896661	1.1050150129	0.8899342996
34	5d	0.9174749042	1.1351574902	3.1727421097	2.3178755078	6.4938950644	1.3727749948	0.9999430333	0.4087610165	0.7418935046	1.435914487	0.5339044075	1.3706869447	1.7914793783	2.1084523879	0.865942526	1.5045398729	0.8113475345	1.3278654608	1.2480135126	1.5388105716	1.2597382726	1.0996254264	1.4067918265	1.2768490364	1.0604722124	1.0325228518	2.5236734122	0.9576862142	0.9699770469	1.0306641339	0.5683102604	0.9200692613	3.7402963354	2.3365015826	1.0136382903	0.6892371731	0.3780473073	0.7912225373	1.519981226	1.2965895046	2.369053196	0.9254954184	5.4950175768	0.4270087739	0.7326052713	1.0968924985	1.5220456036
35	5d	0.7772330224	1.8237507366	4.6795489096	2.5303748495	7.0151580359	2.0787446764	0.955269736	0.4510864813	0.9697039975	1.2368052923	0.8983817442	2.1992379153	2.7819341075	0.9419836368	1.077551225	1.5276428335	1.1866909654	1.723777897	0.9597456719	1.8974343774	1.1068386081	1.1899878697	2.454298227	1.2043242848	2.0200935306	1.5772360546	2.9539741461	1.8722503532	1.2765221654	0.832937347	1.1973455778	1.2903785327	5.8202246739	1.5708305678	1.5047723175	1.3695145551	2.7272423744	1.1711429416	1.4496758338	3.0774096787	1.9104992418	1.2344876663	6.1883802679	0.7218338014	1.2456777659	1.4724922457	1.690820114
36	14d	1.0813661058	1.482141403	0.6018361535	2.7437311956	8.9528440517	2.6548715568	0.9003687738	0.8602831359	0.8513116866	1.6838032607	0.6943987929	0.8728756613	3.4741573316	0.9225049309	1.5059625187	1.5476550621	0.602574345	1.8532676205	0.7160602968	2.6397511728	1.2361323132	0.9032802429	1.5857233082	0.8075471274	2.5040180491	1.060969459	2.8422176021	0.9202405479	0.9649710436	1.3496687231	0.610801291	1.3764891728	0.9786975282	1.7098451956	1.0101606473	0.8285935231	1.5851702397	0.8277127655	2.5937749946	9.8769000664	1.099270758	0.9128113345	7.0495093402	0.4893990304	1.0329879758	1.5566073213	1.2129687755
37	14d	1.4657223491	2.3173724797	1.6188993356	4.8518332472	24.8175174117	5.4174350317	0.7753364804	2.994643578	0.8399525922	2.3657709879	0.732035581	1.3790695845	8.0937963274	2.5033843866	1.9955417812	3.4911522098	0.8168604775	3.3288366455	1.1696087592	4.2775805174	2.9624537176	1.2599230553	2.040370461	1.3035032369	6.3211217037	1.3420730423	9.1053214778	1.3317203818	1.0531137514	1.8656941474	0.8925416862	1.5738696606	2.9222156016	4.8320177769	3.0241743015	0.9913432371	2.3438387751	0.9841302507	4.998672795	25.1768587423	4.4543367019	1.4665241088	18.6838924209	0.2805672259	0.9765764982	1.4432682697	2.3433797826
38	14d	1.1443296951	1.9748799789	0.9452009335	2.19433986	7.514239412	2.2839546035	1.0321108522	0.6824310818	0.7618830058	1.7016001834	0.7509825118	1.0377028914	2.740833613	1.422291572	1.0237559535	2.0701772152	0.6384542573	1.8591526836	0.820385216	2.1517000039	1.467295483	0.8968396218	1.4516652652	0.7940857033	2.4999406191	1.0667760622	2.7402409651	0.9426406098	1.0654938128	1.085423966	0.772702116	1.2794329734	1.4226489221	2.3612862557	1.2727711458	0.8663671919	1.2404099668	0.9461863039	3.3454402796	6.7153250095	2.8549020982	0.8001578894	5.562510677	0.5016644829	1.0538406638	1.0635704329	1.094745543
39	14d	1.5214661946	2.1528872314	4.7943808787	5.3281449734	20.6986630571	6.1926580576	0.8104179642	3.7748726324	0.9959985023	1.9836742813	0.8268317569	2.2482409283	7.4997476377	2.2989966736	1.8040930557	3.3544531182	0.9445220666	3.1957714815	1.4949810812	2.9555794805	1.9297292433	2.0764143272	2.1992117651	1.7493080459	2.9450798079	2.0627483622	9.2195544034	1.7918713913	1.243780715	1.7160039862	1.0299550892	1.0670782	6.6368494458	4.225920593	2.3265524621	1.6206657873	1.3545825186	1.2855789281	3.7301745993	6.2346627529	3.0137005972	1.8850896761	17.835181996	0.4087972657	1.1855039817	1.6442333989	1.9635177581
40	14d	1.1504212717	1.3962593694	5.4936074761	3.9525579362	14.7340797104	3.1224733404	0.6907266495	4.2125645752	0.7066520653	1.9082737533	0.6957660838	1.7011423483	6.4230403853	2.6059552216	1.1840595629	2.7235540094	0.8227291269	2.0635023122	1.4426497584	1.7658782964	1.9450735325	2.1818219206	1.6231889909	1.7563933025	2.9068685262	1.4545591999	7.0339469394	1.6679989143	0.9335891803	1.4355218314	0.8026452701	0.7815969471	5.6439983092	3.6470617523	2.3870530043	0.9918708886	1.8697062426	1.1073265616	3.2533444579	17.8420220567	5.4964802957	1.5907139057	9.8051549452	0.2798685942	0.9955062197	1.234268525	0.5957586715

